,buyers,contract_value,suppliers
0,delegación SEDESOL en Tabasco,10387.8,JESUS ALBERTO ROSAS GARDUZA
1,delegación SEDESOL en México,739388.48,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
2,delegación SEDESOL en Tabasco,1072,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
3,delegación SEDESOL en Tabasco,109620,SERVISEG S.A. DE C.V.
4,delegación SEDESOL en Tabasco,1109.9,COMERCIALIZADORA COMPUTEL DEL SURESTE  S.A. DE C.V.
5,Instituto Nacional de Antropología e Historia,904739.24,GERMAN ALFONSO GARCIA  Y BRIZUELA
6,Servicio de Administración Tributaria,3326.88,ENRIQUE SIQUEIROS QUIJADA
7,delegación SEDESOL en Tabasco,1200,BERNARDO NOGUERA MICELI
8,Instituto Nacional de Antropología e Historia,43999.62,GLOBAL ASSURANCE BROKERS AGENTE DE SEGUROS Y DE FIANZAS SA DE CV
9,delegación SEDESOL en México,41090.77,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
10,delegación SEDESOL en México,625433.53,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
11,delegación SEDESOL en México,127008,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
12,Comisión Nacional del Agua,885888.61,CH. INGENIERIA Y PROYECTOS  S.A. DE C.V.
14,delegación SEDESOL en Tabasco,1444.2,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
17,Servicio de Administración Tributaria,3828,JOSE ARIEL FELIX ORTIZ
18,Servicio de Administración Tributaria,2838.52,JULIO GALLARDO DURON
21,Servicio de Administración Tributaria,5757.14,ESTAFETA MEXICANA SA DE CV
22,Servicio de Administración Tributaria,5959.04,SERVICIO POSTAL  MEXICANO
23,delegación SEDESOL en Tabasco,16176.21,COMITE DE APOYO PARA LA ADMINISTRACION DE INMUEBLE FEDERAL SCT SEDESOL VILLAHERMOSA
24,delegación SEDESOL en Tabasco,1618.84,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
25,delegación SEDESOL en México,3523.25,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
26,Servicio de Administración Tributaria,2900,JOSE ARIEL FELIX ORTIZ
27,delegación SEDESOL en México,12000,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
28,delegación SEDESOL en Tabasco,17500,BENJAMIN GOMEZ GALLARDO
29,Servicio de Administración Tributaria,2740,JOSE ARIEL FELIX ORTIZ
30,delegación SEDESOL en Tabasco,1900,SISTEMA INFORMATIVO DE TABASCO SA DE CV
31,delegación SEDESOL en Tabasco,1922,HILARIO CERINO OSORIO
32,delegación SEDESOL en Tabasco,1971.04,MIGUEL ANGEL CERON SILVAN
33,Instituto Mexicano de Cinematografía,1516003.21,COMUNIDAD FILMIN INTERNACIONAL S DE RL DE CV
34,delegación SEDESOL en Tabasco,2059,HILARIO CERINO OSORIO
35,Servicio de Administración Tributaria,6728.97,SERVICIO POSTAL  MEXICANO
36,Servicio de Administración Tributaria,5800.97,SERVICIO POSTAL  MEXICANO
37,delegación SEDESOL en Tabasco,212036.51,COMITE DE APOYO PARA LA ADMINISTRACION DE INMUEBLE FEDERAL SCT SEDESOL VILLAHERMOSA
38,delegación SEDESOL en Tabasco,2146,JESUS ALBERTO ROSAS GARDUZA
39,Dirección General de Comunicación Social,75847.1,COMERCIALIZADORA DE MEDIOS ESCRITOS SA DE CV
40,delegación SEDESOL en México,79904.09,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
41,Servicio de Administración Tributaria,7205.59,SERVICIO POSTAL  MEXICANO
42,delegación SEDESOL en México,616569.46,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
43,Hospital Regional de Alta Especialidad del Bajío,1050915.54,ELEKTA MEDICAL SA DE CV
44,Servicio de Administración Tributaria,729,JOSE INES SOTO OCHOA
45,Servicio de Administración Tributaria,624,A Y M VETERINARIAS SA DE CV
46,Servicio de Administración Tributaria,624,A Y M VETERINARIAS SA DE CV
48,Servicio de Administración Tributaria,1228,A Y M VETERINARIAS SA DE CV
49,Servicio de Administración Tributaria,1740,A Y M VETERINARIAS SA DE CV
50,Servicio de Administración Tributaria,294,A Y M VETERINARIAS SA DE CV
51,Servicio de Administración Tributaria,300,A Y M VETERINARIAS SA DE CV
52,Servicio de Administración Tributaria,624,A Y M VETERINARIAS SA DE CV
53,Servicio de Administración Tributaria,624,A Y M VETERINARIAS SA DE CV
54,Servicio de Administración Tributaria,380,A Y M VETERINARIAS SA DE CV
55,delegación SEDESOL en Tabasco,2399.41,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
56,Servicio de Administración Tributaria,918,A Y M VETERINARIAS SA DE CV
57,Servicio de Administración Tributaria,930,A Y M VETERINARIAS SA DE CV
58,Servicio de Administración Tributaria,624,A Y M VETERINARIAS SA DE CV
60,Servicio de Administración Tributaria,1220.83,JOSE INES SOTO OCHOA
61,Servicio de Administración Tributaria,1336.53,PLOMERIA Y FERRETERIA MEDINA SA DE CV
62,Servicio de Administración Tributaria,300,A Y M VETERINARIAS SA DE CV
63,delegación SEDESOL en México,737708.48,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
64,Servicio de Administración Tributaria,2344.13,SERVICIO POSTAL  MEXICANO
65,Servicio de Administración Tributaria,1504,A Y M VETERINARIAS SA DE CV
66,delegación SEDESOL en Tabasco,2500,5JMEDITORES S. A. DE C.V.
67,Servicio de Administración Tributaria,2318.12,SERVICIO POSTAL  MEXICANO
68,Servicio de Administración Tributaria,3103.57,SERVICIO POSTAL  MEXICANO
69,Servicio de Administración Tributaria,2697.85,SERVICIO POSTAL  MEXICANO
70,delegación SEDESOL en México,1281820.52,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
71,Servicio de Administración Tributaria,3218.97,JOSE INES SOTO OCHOA
72,Servicio de Administración Tributaria,3593.22,SERVICIO POSTAL  MEXICANO
73,Servicio de Administración Tributaria,7931.57,SERVICIO POSTAL  MEXICANO
74,Servicio de Administración Tributaria,4997.48,SERVICIO POSTAL  MEXICANO
75,Servicio de Administración Tributaria,6168.09,SERVICIO POSTAL  MEXICANO
76,Servicio de Administración Tributaria,5371.18,SERVICIO POSTAL  MEXICANO
77,Servicio de Administración Tributaria,5554.79,SERVICIO POSTAL  MEXICANO
78,Servicio de Administración Tributaria,7185.9,SERVICIO POSTAL  MEXICANO
79,Servicio de Administración Tributaria,6981.4,SERVICIO POSTAL  MEXICANO
80,Instituto Nacional de Antropología e Historia,944711.12,REDPACK SA DE CV
81,Servicio de Administración Tributaria,775.62,SERVICIO POSTAL  MEXICANO
82,Servicio de Administración Tributaria,665.89,SERVICIO POSTAL  MEXICANO
83,Servicio de Administración Tributaria,722.1,SERVICIO POSTAL  MEXICANO
84,Servicio de Administración Tributaria,824.61,SERVICIO POSTAL  MEXICANO
85,Servicio de Administración Tributaria,719.08,SERVICIO POSTAL  MEXICANO
86,Servicio de Administración Tributaria,647.52,SERVICIO POSTAL  MEXICANO
87,Servicio de Administración Tributaria,504.43,SERVICIO POSTAL  MEXICANO
88,Servicio de Administración Tributaria,4821.83,SERVICIO POSTAL  MEXICANO
89,Servicio de Administración Tributaria,3834.09,SERVICIO POSTAL  MEXICANO
90,Servicio de Administración Tributaria,242.99,PLOMERIA Y FERRETERIA MEDINA SA DE CV
91,delegación SEDESOL en México,46217.52,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
92,delegación SEDESOL en Tabasco,2919.14,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
93,delegación SEDESOL en Tabasco,2999.3,COMERCIALIZADORA COMPUTEL DEL SURESTE  S.A. DE C.V.
94,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,9078.16,CONSORCIO ARKKA SA DE CV
95,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,44782.74,CARMA REPRESENTACIONES SA DE CV
96,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,99792.48,BIO RESEARCH IMPORTACIONES S.A DE C.V.
97,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,51510.79,QIAGEN MEXICO S DE RL DE CV
98,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,65883.36,REACTIVOS Y MARCAS DE MEXICO S A DE C V
99,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,33030.86,ACCESORIOS PARA LABORATORIOS  S.A. DE C.V.
100,Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,8073.6,SALVADOR ABRAHAM  CHAVEZ SOLIS
101,delegación SEDESOL en Tabasco,3057,JESUS ALBERTO ROSAS GARDUZA
102,Servicio de Administración Tributaria,1305,ANA JULIA BARRAGAN MURRIETA
103,Servicio de Administración Tributaria,481.39,ANA JULIA BARRAGAN MURRIETA
104,Servicio de Administración Tributaria,481.4,ANA JULIA BARRAGAN MURRIETA
105,Servicio de Administración Tributaria,17829.87,SERVICIO POSTAL  MEXICANO
106,Servicio de Administración Tributaria,348,ANA JULIA BARRAGAN MURRIETA
107,delegación SEDESOL en México,95967,SECRETARIA DE DESARROLLO SOCIAL DELEGACION ESTADO DE MEXICO
108,delegación SEDESOL en Tabasco,3183,CONSORCIO LEMON SA DE CV
109,Servicio de Administración Tributaria,2262,ANA JULIA BARRAGAN MURRIETA
110,Servicio de Administración Tributaria,48545.99,VIGI KLEAN DEL SURESTE SA DE CV
111,delegación SEDESOL en Tabasco,3335,JOSE ANTONIO CRUZ PEREZ
112,Servicio de Administración Tributaria,13696.12,ANA JULIA BARRAGAN MURRIETA
113,Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios,0,APOYOS Y SERVICOS A LA COMERCIALIZACION AGROPECUARIA
114,Servicio de Administración Tributaria,2565.92,ANA JULIA BARRAGAN MURRIETA
115,delegación SEDESOL en Tabasco,3569.16,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
116,delegación SEDESOL en Tabasco,1500,JESUS ALBERTO ROSAS GARDUZA
117,delegación SEDESOL en Tabasco,3810.11,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
118,delegación SEDESOL en Tabasco,38240.95,CONSORCIO LEMON SA DE CV
121,delegación SEDESOL en Tabasco,3964.88,DIOS DAVID MORALES DE
123,delegación SEDESOL en Tabasco,4238.08,FERNAN HERIBERTO GONZALEZ GONZALEZ
124,Servicio de Administración Tributaria,4701.48,ELVIRA NORBERTO PARRAS
125,delegación SEDESOL en Tabasco,4265.54,SECRETARIA DE DESARROLLO SOCIAL DELEGACION TABASCO
126,Servicio de Administración Tributaria,25417.92,DISTRIBUIDORA AGRICOLA VETERINARIA DE TAPACHULA SA DE CV
127,Servicio de Administración Tributaria,5327.01,PLOMERIA Y FERRETERIA MEDINA SA DE CV
128,Servicio de Administración Tributaria,20666.84,OSCAR IVAN VERA BRONDO
129,Servicio de Administración Tributaria,25.52,"ENTREGAS OPORTUNAS DE OCCIDENTE, SA DE C"
130,delegación SEDESOL en Tabasco,4920,JOEL RAMIREZ DOMINGUEZ
131,delegación SEDESOL en Tabasco,4984.12,RODOLFO ROVIROSA GOMEZ
132,delegación SEDESOL en Tabasco,4998,BENJAMIN GOMEZ GALLARDO
133,Servicio de Administración Tributaria,723.5,PLOMERIA Y FERRETERIA MEDINA SA DE CV
134,Servicio de Administración Tributaria,72.92,PLOMERIA Y FERRETERIA MEDINA SA DE CV
135,Servicio de Administración Tributaria,2344.06,PLOMERIA Y FERRETERIA MEDINA SA DE CV
136,Instituto Nacional de Antropología e Historia,2524929.47,ROOST CONTROL DE PLAGAS Y SERVICIOS SA DE CV
137,Servicio de Administración Tributaria,383.11,PLOMERIA Y FERRETERIA MEDINA SA DE CV
138,Servicio de Administración Tributaria,1277.06,PLOMERIA Y FERRETERIA MEDINA SA DE CV
139,delegación SEDESOL en Tabasco,52973.82,CONSORCIO LEMON SA DE CV
140,delegación SEDESOL en Tabasco,5439,JOEL RAMIREZ DOMINGUEZ
141,Servicio de Administración Tributaria,63777.97,BALANDRANO INK SA DE CV
142,Servicio de Administración Tributaria,37.35,"ENTREGAS OPORTUNAS DE OCCIDENTE, SA DE C"
143,Instituto Nacional de Antropología e Historia,335107.1,MERSAN SERVICIOS SA DE CV
